 7112990.457770 4.790E-26 2.160E-02.03220.034 1420.76310.63-.010662       b      0       X      0                P 31Q 30     d58774549311613 6 6    61.0   61.0
 7112990.501832 3.749E-27 1.719E-02.04910.049 1635.06590.74-.007300       b      1       X      1                R  7Q  8     d54644449 5 5 3 1 1    17.0   17.0
 7112992.295768 3.182E-27 1.509E-02.04780.049 1685.40730.73-.006200       b      1       X      1                R  9R  9     d54644449 5 5 3 1 1    21.0   19.0
 7212992.721796 9.286E-29 2.242E-02.03030.033 1430.88890.63-.009400       b      0       X      0                P 32P 32     d57675349271512 1 2    63.0   65.0
 7312993.721457 2.374E-29 2.437E-02.03150.034 1381.47870.63-.010564       b      0       X      0                P 31P 31     d55774549271613 6 6   366.0  378.0
 7112994.341392 3.680E-27 1.729E-02.04780.049 1683.36160.73-.007500       b      1       X      1                R  9Q 10     d54644449 5 5 3 1 1    21.0   21.0
 7212994.461968 8.997E-29 2.155E-02.03030.033 1429.14870.63-.009300       b      0       X      0                P 32Q 31     d57675349271512 1 2    63.0   63.0
 7112994.940561 1.250E-29 7.340E-08.04580.046  343.96940.67-.007400       b      0       X      0                N 15O 14     q6766534928 7 4 1 2    25.0   29.0
 7312995.463658 2.296E-29 2.338E-02.03220.034 1379.73650.63-.010662       b      0       X      0                P 31Q 30     d55774549271613 6 6   366.0  366.0
 7112995.712738 2.911E-27 1.551E-02.04680.048 1745.08060.72-.006650       b      1       X      1                R 11R 11     d54644449 5 5 3 1 1    25.0   23.0
 7112997.779947 3.289E-27 1.735E-02.04680.048 1743.01330.72-.007400       b      1       X      1                R 11Q 12     d54644449 5 5 3 1 1    25.0   25.0
 7212998.158989 1.369E-28 2.246E-02.03150.034 1344.55200.63-.010564       b      0       X      0                P 31P 31     d57774549271613 6 6    61.0   63.0
 7112998.728672 2.437E-27 1.581E-02.04580.047 1816.09790.67-.007200       b      1       X      1                R 13R 13     d54644449 5 5 3 1 1    29.0   27.0
 7312999.217807 3.491E-29 2.442E-02.03220.035 1295.51140.63-.009300       b      0       X      0                P 30P 30     d55665349271512 1 2   354.0  366.0
 7212999.907306 1.325E-28 2.156E-02.03220.034 1342.80370.63-.010662       b      0       X      0                P 31Q 30     d57774549271613 6 6    61.0   61.0
 7112999.956884 1.084E-25 2.265E-02.03190.037 1248.20130.63-.011371       b      0       X      0                P 29P 29     d68774549311613 6 6    57.0   59.0
 7113000.816219 2.708E-27 1.740E-02.04580.047 1814.01040.67-.007400       b      1       X      1                R 13Q 14     d54644449 5 5 3 1 1    29.0   29.0
 7313000.968413 3.371E-29 2.338E-02.03220.035 1293.76070.63-.009200       b      0       X      0                P 30Q 29     d55665349271512 1 2   354.0  354.0
 7113001.341178 1.884E-27 1.604E-02.04470.045 1898.44770.65-.007300       b      1       X      1                R 15R 15     d54644449 5 5 3 1 1    33.0   31.0
 7113001.709510 1.046E-25 2.167E-02.03220.036 1246.44860.63-.011335       b      0       X      0                P 29Q 28     d68774549311613 6 6    57.0   57.0
 7113002.186320 1.440E-30 2.977E-07.03120.034 1245.97180.63-.009300       b      0       X      0                P 29O 30     q6766534928 7 4 1 2    57.0   61.0
 7113003.448276 2.069E-27 1.744E-02.04470.045 1896.34060.65-.007400       b      1       X      1                R 15Q 16     d54644449 5 5 3 1 1    33.0   33.0
 7213003.506424 1.991E-28 2.250E-02.03220.035 1260.87940.63-.009300       b      0       X      0                P 30P 30     d57675349271512 1 2    59.0   61.0
 7113003.547640 1.355E-27 1.623E-02.04340.043 1992.11650.65-.007500       b      1       X      1                R 17R 17     d54644449 5 5 3 1 1    37.0   35.0
 7313004.622077 5.060E-29 2.446E-02.03190.037 1212.28380.63-.011371       b      0       X      0                P 29P 29     d55774549271613 6 6   342.0  354.0
 7213005.262907 1.924E-28 2.156E-02.03220.035 1259.12300.63-.009200       b      0       X      0                P 30Q 29     d57675349271512 1 2    59.0   59.0
 7113005.345219 9.092E-28 1.637E-02.04170.043 2097.08890.64-.007300       b      1       X      1                R 19R 19     d54644449 5 5 3 1 1    41.0   39.0
 7113005.673764 1.474E-27 1.748E-02.04340.043 1989.99040.65-.007800       b      1       X      1                R 17Q 18     d54644449 5 5 3 1 1    37.0   37.0
 7313006.381115 4.880E-29 2.340E-02.03220.036 1210.52480.63-.011335       b      0       X      0                P 29Q 28     d55774549271613 6 6   342.0  342.0
 7113006.730853 5.711E-28 1.649E-02.03980.042 2213.34780.63-.008300       b      1       X      1                R 21R 21     d54644449 5 5 3 1 1    45.0   43.0
 7113007.490005 9.817E-28 1.750E-02.04170.043 2094.94410.64-.008500       b      1       X      1                R 19Q 20     d54644449 5 5 3 1 1    41.0   41.0
 7113007.701251 3.366E-28 1.659E-02.03760.040 2340.87400.63-.009100       b      1       X      1                R 23R 23     d54544449 5 5 3 1 1    49.0   47.0
 7113008.084672 4.763E-29 1.680E-02.03120.034 2790.83880.63-.009700       b      1       X      1                R 29R 29     d44544449 5 5 3 1 1    61.0   59.0
 7113008.252894 1.864E-28 1.668E-02.03540.037 2479.64680.63-.009300       b      1       X      1                R 25R 25     d54544449 5 5 3 1 1    53.0   51.0
 7113008.382030 9.708E-29 1.674E-02.03320.036 2629.64320.63-.009500       b      1       X      1                R 27R 27     d44544449 5 5 3 1 1    57.0   55.0
 7213008.764348 2.856E-28 2.255E-02.03190.037 1179.87440.63-.011371       b      0       X      0                P 29P 29     d57774549271613 6 6    57.0   59.0
 7113008.894039 6.130E-28 1.752E-02.03980.042 2211.18460.63-.008900       b      1       X      1                R 21Q 22     d54644449 5 5 3 1 1    45.0   45.0
 7113009.882645 3.594E-28 1.754E-02.03760.040 2338.69260.63-.008900       b      1       X      1                R 23Q 24     d54544449 5 5 3 1 1    49.0   49.0
 7313009.934516 7.230E-29 2.452E-02.03410.036 1131.79930.63-.009100       b      0       X      0                P 28P 28     d55665349271512 1 2   330.0  342.0
 7113010.319963 5.031E-29 1.756E-02.03120.034 2788.60350.63-.009300       b      1       X      1                R 29Q 30     d44544449 5 5 3 1 1    61.0   61.0
 7113010.452353 1.982E-28 1.755E-02.03540.037 2477.44730.63-.009100       b      1       X      1                R 25Q 26     d54544449 5 5 3 1 1    53.0   53.0
 7213010.529021 2.756E-28 2.158E-02.03220.036 1178.10970.63-.011335       b      0       X      0                P 29Q 28     d57774549271613 6 6    57.0   57.0
 7113010.599446 1.029E-28 1.756E-02.03320.036 2627.42580.63-.009100       b      1       X      1                R 27Q 28     d44544449 5 5 3 1 1    57.0   57.0
 7113010.812336 2.237E-25 2.280E-02.03420.038 1085.20330.63-.010277       b      0       X      0                P 27P 27     d68774549311613 6 6    53.0   55.0
 7313011.702012 6.962E-29 2.341E-02.03410.036 1130.03180.63-.009100       b      0       X      0                P 28Q 27     d55665349271512 1 2   330.0  330.0
 7113012.582458 2.150E-25 2.173E-02.03450.039 1083.43320.63-.010120       b      0       X      0                P 27Q 26     d68774549311613 6 6    53.0   53.0
 7113013.023936 2.970E-30 2.995E-07.03320.036 1082.99170.63-.009100       b      0       X      0                P 27O 28     q6766534928 7 4 1 2    53.0   57.0
 7213013.932997 4.036E-28 2.259E-02.03410.036 1101.54000.63-.009100       b      0       X      0                P 28P 28     d57675349271512 1 2    55.0   57.0
 7113014.295775 1.630E-29 7.623E-08.04680.047  260.68240.72-.007400       b      0       X      0                N 13O 12     q6766534928 7 4 1 2    21.0   25.0
 7313015.155359 1.018E-28 2.457E-02.03420.038 1054.06100.63-.010277       b      0       X      0                P 27P 27     d65774549271613 6 6   318.0  330.0
 7213015.705886 3.890E-28 2.159E-02.03410.036 1099.76710.63-.009100       b      0       X      0                P 28Q 27     d57675349271512 1 2    55.0   55.0
 7313016.931345 9.788E-29 2.343E-02.03450.039 1052.28500.63-.010120       b      0       X      0                P 27Q 26     d65774549271613 6 6   318.0  318.0
