,albedo,sza,wco2_slope_a,wco2_slope_b,wco2_inter_a,wco2_inter_b
0,0.05,30.0,0.4461570503406978,0.25483851660606105,0.5059644281575008,1.8900747317970588
1,0.05,45.0,0.4098580878740843,0.05849620109004529,0.34713352169748046,1.5285917216274887
2,0.05,60.0,0.3619213462258772,0.04280568933984181,0.24428911734761813,1.2132490375275589
3,0.1,30.0,0.14159982467860535,0.19063040262917377,0.25223366230592154,1.4537149118847523
4,0.1,45.0,0.23078179148719932,0.2867168957614795,0.17133858788136977,1.2309515445330046
5,0.1,60.0,0.22493412000344445,0.14990843829326594,0.15933766163624444,1.0707237836937813
6,0.15,30.0,0.12229338758890601,0.371038954877178,0.14185936406009841,1.2078220290370387
7,0.15,45.0,0.2064475171573939,0.5152539327769667,0.09889494912936596,0.9654029929372854
8,0.15,60.0,0.20613601098679762,0.37662910988586,0.07668701054549258,0.718599796065789
9,0.2,30.0,0.15184357962024328,0.6198568229602563,0.1390681445899714,1.2509889475975458
10,0.2,45.0,0.10668762938086977,0.35101456084946514,0.12132259742637304,1.061898423637055
11,0.2,60.0,0.08180024082303436,0.10178219183025279,0.12717330491611434,0.9648754792587358
12,0.25,30.0,0.10610860099867563,0.4326980470521297,0.18652592028382747,1.3179621862723343
13,0.25,45.0,0.12840483003734632,0.4658566340654648,0.10674861832268462,0.9645073587502448
14,0.25,60.0,0.0829653580305534,0.14599306700358006,0.12817765640323375,0.9242361003307059
15,0.3,30.0,0.11750675986955877,0.5499904047618702,0.1651924173763181,1.3206487451207216
16,0.3,45.0,0.07648016056403716,0.2841512282914995,0.13250014174262062,1.102874035484279
17,0.3,60.0,0.10081315294411003,0.26714929423612965,0.12039426699931982,0.9495640243911576
18,0.4,30.0,0.08716046789908412,0.5468143381700227,0.1655331167572981,1.2859669084793113
19,0.4,45.0,0.09741317236221088,0.49217681063469354,0.1137044064749939,1.0061530901695968
20,0.4,60.0,0.10280493200103888,0.41700860929160305,0.10575388790990413,0.8245171006961919
21,0.5,30.0,0.08090643960114596,0.5978883287584861,0.14117541007095,1.1895210755270709
22,0.5,45.0,0.08742315814189504,0.5549741469992416,0.10529226767243399,0.9374215905996103
23,0.5,60.0,0.06579998339677119,0.28684882854072064,0.12424962686063847,0.9454942808540141
