SND,LON,LAT,L2XCO2[ppm],L2PSUR[kPa],i1,s1,i2,s2,i3,s3,weighted_cld_distance
SND2019100509314178,56.109905,31.025501,406.37573,84.86725,1.6460868e-05,0.00023842156,3.180505e-05,0.00039987566,3.908048e-06,0.0004571675,28.873081
SND2019100509314201,56.067646,31.106096,405.08447,84.33381,5.8344707e-05,0.0005812078,0.00010244672,0.0007856621,1.6634813e-05,0.00096126966,25.469202
SND2019100509314202,56.073177,31.097551,406.63538,83.83907,4.8954513e-05,0.0005136486,8.710657e-05,0.00071541965,1.3607646e-05,0.0008671317,25.941235
SND2019100509314203,56.078644,31.088934,405.03665,84.04731,4.190925e-05,0.00046041078,7.5451855e-05,0.00065848074,1.1390343e-05,0.00079149817,26.35922
SND2019100509314204,56.084034,31.08027,404.12076,84.256096,3.5303314e-05,0.00040802566,6.438837e-05,0.00060087384,9.359759e-06,0.0007156437,26.820635
SND2019100509314205,56.08929,31.071653,406.18277,84.23964,2.9905754e-05,0.00036303047,5.5232507e-05,0.0005499489,7.7406585e-06,0.00064919156,27.266975
SND2019100509314206,56.09447,31.062975,405.18027,84.532104,2.6347248e-05,0.00033204645,4.9128605e-05,0.0005139924,6.695731e-06,0.00060263986,27.607765
SND2019100509314207,56.09956,31.05426,404.89783,84.57162,2.2887196e-05,0.00030070663,4.313347e-05,0.00047678564,5.6991403e-06,0.0005548129,27.986479
SND2019100509314208,56.104557,31.045504,406.33206,84.57331,2.0243911e-05,0.00027581066,3.8507536e-05,0.00044655646,4.952222e-06,0.0005162294,28.316605
SND2019100509314231,56.062263,31.126087,406.23196,84.4214,9.069222e-05,0.00079292426,0.00015402235,0.000994218,2.7561491e-05,0.0012455477,24.282635
SND2019100509314232,56.0678,31.117544,406.18503,84.555466,7.894776e-05,0.000719148,0.00013548991,0.00092328334,2.3515717e-05,0.001148114,24.655699
SND2019100509314233,56.073273,31.108929,407.53903,84.1506,6.836355e-05,0.00064982433,0.00011860918,0.0008550053,1.9943374e-05,0.001055037,25.042913
SND2019100509314234,56.078667,31.100266,405.39224,84.06319,5.687712e-05,0.00057087414,0.00010006238,0.00077505136,1.6156722e-05,0.00094699353,25.537731
SND2019100509314235,56.083927,31.09165,405.98856,84.04502,4.783864e-05,0.0005053759,8.5269574e-05,0.0007066691,1.32531995e-05,0.00085546804,26.00326
SND2019100509314236,56.089115,31.082973,405.35687,84.07224,3.996405e-05,0.00044525706,7.220879e-05,0.00064198795,1.0787236e-05,0.00076971017,26.487066
SND2019100509314237,56.094208,31.07426,406.71286,84.16817,3.3329587e-05,0.00039182566,6.105355e-05,0.0005827036,8.7632225e-06,0.0006918657,26.975395
SND2019100509314238,56.099213,31.065506,407.2125,84.30074,2.882579e-05,0.0003537486,5.3386146e-05,0.0005392582,7.421528e-06,0.0006353177,27.365915
SND2019100509314271,56.056885,31.146078,405.92197,84.77672,0.00014057891,0.0010796281,0.00023096349,0.0012562533,4.5519027e-05,0.001611239,23.103615
SND2019100509314272,56.062424,31.137537,405.52878,84.768364,0.00012458734,0.0009916129,0.0002065677,0.0011778369,3.964232e-05,0.0015009164,23.428463
SND2019100509314273,56.067905,31.128923,405.67294,84.59609,0.00010881873,0.0009014813,0.00018227832,0.0010957655,3.3953565e-05,0.0013862402,23.792484
SND2019100509314274,56.07331,31.120266,406.52936,84.39266,9.346391e-05,0.00080991274,0.00015836871,0.0010103212,2.852779e-05,0.0012677662,24.201656
SND2019100509314275,56.078583,31.111656,407.49692,84.21188,7.98221e-05,0.0007247476,0.00013687658,0.00092872675,2.381407e-05,0.0011555655,24.62607
SND2019100509314276,56.083782,31.102983,408.06525,83.985085,6.622024e-05,0.0006354105,0.000115167684,0.0008405921,1.9229283e-05,0.0010354822,25.1286
SND2019100509314277,56.088886,31.094275,407.18854,84.10473,5.47377e-05,0.0005556673,9.657804e-05,0.00075935223,1.5462969e-05,0.0009259069,25.640867
SND2019100509314278,56.093903,31.085526,406.9664,84.051735,4.5366465e-05,0.00048684102,8.118808e-05,0.0006869368,1.2472177e-05,0.0008292184,26.145994
SND2019100509314301,56.05158,31.166103,407.2255,84.49136,0.00022644801,0.0015103424,0.00035887136,0.0016202627,7.855928e-05,0.0021319012,21.821165
SND2019100509314302,56.05713,31.157568,406.7388,84.53941,0.00019445232,0.0013567172,0.00031173427,0.001493744,6.5988825e-05,0.001949447,22.23093
SND2019100509314303,56.06262,31.148956,406.34155,84.69614,0.00017119656,0.0012403233,0.00027710767,0.0013955681,5.703597e-05,0.0018089277,22.573568
SND2019100509314304,56.06803,31.1403,404.36945,84.798454,0.00015033406,0.0011318588,0.00024574107,0.0013020531,4.915251e-05,0.0016759973,22.92314
SND2019100509314305,56.073307,31.131693,405.12894,84.52049,0.00013063803,0.0010252869,0.00021582453,0.0012080296,4.185371e-05,0.0015433091,23.300896
