,albedo,sza,sco2_slope_a,sco2_slope_b,sco2_inter_a,sco2_inter_b
0,0.05,30.0,0.521287545750494,0.3693371736543641,0.1388444951957153,1.5103929424709177
1,0.05,45.0,0.7474062436271821,0.3655145661681385,0.09977368147475114,1.256299901292988
2,0.05,60.0,0.7298317309260434,0.2626298630631275,0.08579915470912775,0.9361558479167784
3,0.1,30.0,0.20264012114530522,0.2780125903697486,0.12695384103753118,1.544902576686201
4,0.1,45.0,0.16674509988441966,0.06859448738990549,0.10303220085422073,1.2386390647216077
5,0.1,60.0,0.21526105545793026,0.019600124219757674,0.07783291609759259,0.9484276269139725
6,0.15,30.0,0.221177569257537,0.543168779438221,0.06982767223906473,1.217577532491404
7,0.15,45.0,0.1925083842551124,0.37804720395197705,0.07756912967012845,1.0555339656976819
8,0.15,60.0,0.1962037450281775,0.27699672162650824,0.06201190483194623,0.7693032522392316
9,0.2,30.0,0.17902976510317267,0.619238485400097,0.0700086833416857,1.1679191444824195
10,0.2,45.0,0.15798215052666326,0.5019194649204172,0.05999168670900462,0.9043999649112863
11,0.2,60.0,0.10951023110582964,0.1134911175003441,0.06460342941025143,0.837429851939446
12,0.25,30.0,0.17059254686801026,0.6316085462606755,0.09481909623125488,1.3422915435211131
13,0.25,45.0,0.1802251130244836,0.5792978568702962,0.06766123197140393,0.9673435999724627
14,0.25,60.0,0.14186525381268775,0.27963952921857765,0.07318758993566093,0.8597312864929001
15,0.3,30.0,0.11536400935414315,0.49620050966181317,0.11455065930250874,1.506935907422054
16,0.3,45.0,0.14777906524623455,0.5365517835967292,0.07204304258247786,1.0443107159947038
17,0.3,60.0,0.13683927282906017,0.3528571276550782,0.07049562696231387,0.8388783920891739
18,0.4,30.0,0.11401135832320612,0.6688906242462467,0.08003965114124491,1.1858434547630357
19,0.4,45.0,0.1032555407996195,0.5010992537468762,0.0702899174179027,1.0073229039879814
20,0.4,60.0,0.10376483169429884,0.32841489044583516,0.07670536717686804,0.9098029179934702
21,0.5,30.0,0.08928122749859531,0.5874348636786056,0.10195479714393098,1.3595253019732843
22,0.5,45.0,0.07565019173297341,0.40390588032537755,0.0828015576330992,1.0949225296951433
23,0.5,60.0,0.07345462393270381,0.2178040453543688,0.08448936958374186,0.9795491866808931
