,albedo,sza,sco2_slope_a,sco2_slope_b,sco2_inter_a,sco2_inter_b
0,0.025,15.0,0.6174056899616249,3.2340336980384803e-17,0.4217337836398644,2.207675356731391
1,0.025,30.0,0.9524726063607086,0.053337881684816534,0.40342298757162065,2.214331051611569
2,0.025,45.0,1.2992467068641238,0.13248058837580917,0.11505657401247031,1.3134489370591471
3,0.025,60.0,1.3645293380912014,0.06701710191152595,0.16501980948303058,1.1664326985308657
4,0.025,75.0,1.123303078679095,2.9429302470118634e-17,0.24576854986986552,0.9933825002667815
5,0.05,15.0,0.2457031617744259,0.0015448673814202807,0.521318342619655,2.447317726272282
6,0.05,30.0,0.5212877215701458,0.3693373635156794,0.13884585186604967,1.5103999604785698
7,0.05,45.0,0.7474062141572719,0.36551454402894046,0.0997737124629352,1.2563001161304874
8,0.05,60.0,0.7298317424530829,0.2626298716707764,0.08579915112196325,0.93615582051837
9,0.05,75.0,0.26736199524317916,1.184257882834369e-19,0.23968177806753055,0.9838575514047497
10,0.1,15.0,0.18468280874504134,0.23439944296965262,0.24028757243884202,1.9186173522566607
11,0.1,30.0,0.20264007827730673,0.2780124677498398,0.12695383298497145,1.544902530599991
12,0.1,45.0,0.1667450652336713,0.06859438067910564,0.1030322303155279,1.2386392631230065
13,0.1,60.0,0.2152609387559346,0.019599851162176565,0.07783291755485051,0.9484276391844556
14,0.1,75.0,0.08325077708085313,2.3506123460388226e-19,0.23955188505195296,0.9848165424836032
15,0.15,15.0,0.16451899139064108,0.4691870236767775,0.18969412808129069,1.8081361142259835
16,0.15,30.0,0.22117762544566574,0.5431689301390469,0.0698276553520804,1.2175773650330255
17,0.15,45.0,0.1925080218358397,0.3780461389226293,0.07756918501698473,1.0555344275198384
18,0.15,60.0,0.1962036060385548,0.2769963342091494,0.06201147173325819,0.7692988575727351
19,0.15,75.0,-9.999999999999998,3.417415224457763,0.22064641232067325,0.9355114502284981
20,0.2,15.0,0.17151880841227338,0.6407387547593099,0.15771289779309614,1.684264931625993
21,0.2,30.0,0.1790286400839324,0.6192346670384765,0.07000869341948214,1.16791924283557
22,0.2,45.0,0.15798217955644034,0.5019195726563959,0.059991665139505324,0.9043997314405113
23,0.2,60.0,0.10951026114008966,0.11349125973178,0.06460406742829261,0.8374361133525691
24,0.2,75.0,-9.999999999853163,3.7723509337240073,0.21723752626725087,0.9019779174483589
25,0.25,15.0,0.12782872005191906,0.521011689528997,0.24236387459442782,1.920174473164327
26,0.25,30.0,0.17059261602711318,0.6316087937938746,0.09482223096339397,1.3423144861045988
27,0.25,45.0,0.18022527988581818,0.579298412266021,0.06766123473052708,0.9673436263748302
28,0.25,60.0,0.14186525281691859,0.2796395253781637,0.07318811152114478,0.8597357817804838
29,0.25,75.0,0.04122963475272784,4.283502103256209e-15,0.2535744498460846,0.9785686940231229
30,0.3,15.0,0.09829192945262202,0.4923690961070803,0.26695836693407315,1.9524930756561678
31,0.3,30.0,0.11536396041098386,0.4962002610478431,0.11455065738122323,1.5069358951978713
32,0.3,45.0,0.14777905730910273,0.5365517517818129,0.07204304634272277,1.0443107478753553
33,0.3,60.0,0.13683924483658053,0.3528570131026147,0.0704956124743762,0.8388782602845222
34,0.3,75.0,0.03998598484232717,3.973043319176602e-15,0.2828245615398336,1.0797186641000374
35,0.4,15.0,0.09255692632248964,0.5891565770965422,0.22428706856144737,1.832161027830653
36,0.4,30.0,0.11401043151831004,0.6688856666119579,0.08003980829334713,1.1858447991044596
37,0.4,45.0,0.103255389543007,0.5010983931367957,0.07029002799355658,1.007323951141594
38,0.4,60.0,0.10376448900634966,0.3284130362770604,0.07670537011682502,0.9098029429467916
39,0.4,75.0,0.024205392037303347,6.069537862542528e-19,0.2807987033671136,1.0552410508354437
40,0.5,15.0,0.09056416704726797,0.639899825903986,0.20750261224782215,1.8094718850695843
41,0.5,30.0,0.08927973864046741,0.5874247828919489,0.10195503606701017,1.3595268905692997
42,0.5,45.0,0.075650187244779,0.4039058465609729,0.08280152919258824,1.094922269968661
43,0.5,60.0,0.07345420456461872,0.2178009704270367,0.08448940000486857,0.9795494240471063
44,0.5,75.0,0.026071265930523137,6.99093648590271e-18,0.22453795264864845,0.9237752266639685
