,albedo,sza,o2a_slope_a,o2a_slope_b,o2a_inter_a,o2a_inter_b
0,0.025,15.0,3.3771400340266244,0.5234237243727725,1.9743394078864456,2.0332360607239077
1,0.025,30.0,4.715223681285266,0.5690304672445604,1.9624378542342924,2.007318981594775
2,0.025,45.0,4.999999999999999,0.4860071517678173,1.3960129619008292,1.7868248927180226
3,0.025,60.0,4.999999999999999,0.28903599906409305,1.5037368387762855,2.0867061822504303
4,0.025,75.0,4.999999999999999,8.07659483285127e-13,1.0899094654584416,1.9814602445329124
5,0.05,15.0,0.3499124645247034,0.19485580708764472,0.8895687657352427,1.645910883707111
6,0.05,30.0,0.2979408202940019,0.06524859373186631,0.9215853068961101,1.6880015747745252
7,0.05,45.0,0.3245087681560784,0.0003175807633540027,0.5289381627924307,1.3350071999352526
8,0.05,60.0,1.2926584568720327,0.24530678200764322,0.26406622323394724,1.0007372963712573
9,0.05,75.0,4.999999999999996,0.23326019896078853,0.49294683348808416,1.2788295432762322
10,0.1,15.0,0.06256970352985235,7.172489028701586e-14,0.3496586855197285,1.2943125348246247
11,0.1,30.0,0.0849601258269757,5.844567707638444e-16,0.3268960979442749,1.2907576405323433
12,0.1,45.0,0.11640029777566382,1.3855182414490113e-20,0.18860847604667316,0.9397732033394249
13,0.1,60.0,0.24373996332499737,0.03203297984699658,0.1672045887260923,0.8681564231478561
14,0.1,75.0,2.7903777362048077,0.3706195535538996,0.36411924841598114,1.0210798365891813
15,0.15,15.0,0.06096779492199133,0.07398523602616086,0.1809962547476565,1.053967237473301
16,0.15,30.0,0.04840827694781861,7.956836117385873e-15,0.15021933226506437,0.9657088452995718
17,0.15,45.0,0.08463052344651484,5.789791855038067e-16,0.14998734923781018,0.9397662752941109
18,0.15,60.0,0.15128540639145566,0.024811017296440144,0.11947124183368746,0.7628429472591568
19,0.15,75.0,0.7920578886322541,0.20446409423546758,0.2980068654623321,0.8702256155787265
20,0.2,15.0,0.037642203969418586,0.05784307099467006,0.15566587541641574,0.9841920027141773
21,0.2,30.0,0.045803167005137986,0.020553211535926704,0.0914782815999337,0.8038135254417512
22,0.2,45.0,0.07738780203365032,0.04856717903824775,0.09410081894716807,0.739076336137177
23,0.2,60.0,0.09993522521938933,4.4542947356183155e-18,0.1084604847285867,0.7266999138845356
24,0.2,75.0,0.36142139825169556,0.11259596818078167,0.24772339581821726,0.7654380940517441
25,0.25,15.0,0.03353801873584292,0.010627561984002012,0.1302464220900337,0.8447470393480784
26,0.25,30.0,0.03872220896513707,0.057282327776355266,0.07185554261116849,0.5955068526343638
27,0.25,45.0,0.043422965889694125,2.580442410897409e-16,0.09046692329568687,0.6248845130532807
28,0.25,60.0,0.06348552272489137,6.703657846949943e-13,0.07272353332245456,0.44752196293907015
29,0.25,75.0,0.16050861564825042,1.170429434398464e-19,0.22428453026545525,0.6697995928947209
30,0.3,15.0,0.03416949506686184,0.1246222013883894,0.11547804804916728,0.7714729572021944
31,0.3,30.0,0.05184371944102163,0.12950219454108083,0.05611821676528697,0.5657744490911304
32,0.3,45.0,0.0447759034369355,0.04303222528881768,0.06932915792643532,0.5288380428724165
33,0.3,60.0,0.056240746733299596,5.008942210341988e-13,0.06988648280144741,0.4572650789930378
34,0.3,75.0,0.08960882507654888,2.7057729887576774e-19,0.2095525169988838,0.6186877908328975
35,0.4,15.0,0.05823251242138299,0.2869834244088553,0.08311295156900374,0.7030474183278543
36,0.4,30.0,0.0669526450383668,0.27984644959685095,0.042542444101841825,0.4690476081573627
37,0.4,45.0,0.05132566047716475,0.10618881246103529,0.0709361722526603,0.5905853807298487
38,0.4,60.0,0.05626811811884841,0.027973389828701945,0.06606190377243268,0.4772312438246708
39,0.4,75.0,0.05724350655588003,6.34865630045933e-19,0.1828286515309673,0.5637142627430147
40,0.5,15.0,0.06697813780901085,0.3517005285748684,0.07337398934526962,0.686466733169067
41,0.5,30.0,0.07376995373877965,0.3835828922949453,0.03728435229723878,0.40629079791154854
42,0.5,45.0,0.04897754888728398,0.17824857929672983,0.05674601273928268,0.5010982312112544
43,0.5,60.0,0.07230667136877894,0.1275415220891943,0.05646588339414274,0.4353373017264516
44,0.5,75.0,0.056834640628054836,1.8996923637089545e-16,0.2089882877421591,0.6030681315743731
