SoundingID	longitude	latitude	quality_flag	o2a_intercept(a)	o2a_slope(b)	wco2_intercept(a)	wco2_slope(b)	sco2_intercept(a)	sco2_slope(b)	xco2 (unmodified retrieval)	xco2 (uperturb retrieval)	xco2 (L2)
2015062217251307	-56.90507889	-2.219818592	1	0.011835841	0.127097633	0.015720575	0.025623229	0.0	0.0	397.8900878890067	399.6754214662562	398.1413879
2015062217251308	-56.91416168	-2.225445271	0	0.014283555	0.130431188	0.01342657	0.083031386	0.0	0.0	400.6420083779737	398.5886753634131	396.7019958
2015062217251331	-56.85593414	-2.164493322	0	0.003459277	0.151932863	0.007667732	0.042221046	0.0	0.0	399.94636232088567	401.26433031061333	397.2831116
2015062217251332	-56.86469269	-2.170503139	0	0.006615763	0.167009655	0.010434277	0.064536164	0.0	0.0	401.91470009828623	400.7422202852155	398.3102112
2015062217251333	-56.87355042	-2.176475286	0	0.00993472	0.155362223	0.009740018	0.056093446	0.0	0.0	399.3520992822838	399.9079671623567	396.6964111
2015062217251334	-56.88248444	-2.18238616	0	0.006631107	0.145876707	0.006591216	0.057611144	0.0	0.0	400.74286983568607	399.763393615309	397.085022
2015062217251335	-56.8914032	-2.188175678	1	-0.001767335	0.146214176	-0.001870266	0.068821242	0.0	0.0	399.87531400935575	398.084862134672	395.342804
2015062217251336	-56.90039825	-2.193919182	0	0.009716508	0.15188349	0.015880496	-0.000633428	0.0	0.0	401.859481995244	401.27611833718754	397.6507263
2015062217251337	-56.90943146	-2.199602604	1	0.01099428	0.140967752	0.01426716	0.011811983	0.0	0.0	397.63803213650004	396.4839284627625	394.8388367
2015062217251338	-56.91851425	-2.205231667	0	0.009404873	0.152335989	0.007966953	0.095364982	0.0	0.0	401.5213167251016	398.64370356072044	396.8003845
2015062217251371	-56.86030197	-2.144263506	1	0.019120558	0.040142379	0.0150355	-0.032991906	0.0	0.0	401.29515600894103	402.22822851503923	397.9215393
2015062217251372	-56.8690567	-2.150275707	0	0.018505824	0.157592059	0.017014128	0.098849432	0.0	0.0	400.5072419079712	398.1043901976683	396.8960876
2015062217251373	-56.87791061	-2.15625	1	0.013445887	0.164752539	0.017214605	0.032016042	0.0	0.0	398.8162471608749	401.0899529840459	397.497345
2015062217251374	-56.88684464	-2.162163258	0	0.000176249	0.220782429	0.011880611	0.067071846	0.0	0.0	402.5003842534626	401.2455327348199	397.7419739
2015062217251375	-56.89575958	-2.167954922	0	0.00681355	0.151145496	0.002507948	0.095912966	0.0	0.0	401.4839212129491	400.8409738296818	399.0680542
2015062217251376	-56.90475464	-2.173700809	0	-0.011970106	0.137776282	-0.019967249	0.113366936	0.0	0.0	402.3463753509666	400.277269095823	399.0428162
2015062217251377	-56.91378784	-2.179386616	1	-0.004566477	0.167824893	-0.012442944	0.205045857	0.0	0.0	401.597616773517	398.45741292776023	397.7831726
2015062217251378	-56.92286301	-2.185018063	0	0.011580554	0.148377164	0.009999248	0.087182492	0.0	0.0	400.210948993204	399.1172553845283	397.9065552
2015062217251401	-56.86466599	-2.124033928	1	0.045238407	-0.100285547	0.033354748	-0.011301418	0.0	0.0	399.3472411796673	397.8931532388876	398.7242737
2015062217251402	-56.87342072	-2.130048275	0	0.051544493	-0.035275085	0.046993979	-0.068576905	0.0	0.0	nan	400.70894666790497	398.6054077
2015062217251406	-56.90910339	-2.153485537	0	-0.012234126	0.155326894	-0.013247107	0.092575595	0.0	0.0	401.3349199777077	402.47393611837435	399.9904785
2015062217251407	-56.91812897	-2.159177065	1	0.034482913	0.022425224	0.022427926	0.041011521	0.0	0.0	403.046099746194	401.6203687866282	397.4101563
2015062217251408	-56.92720032	-2.164814234	0	0.014815059	0.177474908	0.014450965	0.087387551	0.0	0.0	403.4534746211999	402.5935048963942	398.4332581
2015062217251431	-56.86898804	-2.10383296	0	0.014306116	0.199506299	0.021262217	0.101835535	0.0	0.0	403.49603814285086	402.1989934214528	399.4751587
2015062217251432	-56.87773514	-2.109853029	0	0.006958089	0.244591898	0.017343718	0.090528075	0.0	0.0	402.13026821597856	404.3834847929823	399.5601501
2015062217251433	-56.88658142	-2.11583519	0	0.008044501	0.192880059	0.015781259	0.057891958	0.0	0.0	401.0931128971135	402.1854932688675	398.3192749
2015062217251434	-56.895504	-2.121756554	1	0.00058281	0.241168308	0.014306621	0.057780776	0.0	0.0	402.41649457788066	402.6290495542375	398.4556885
2015062217251438	-56.93148804	-2.144643784	1	0.032822097	-0.210432366	0.002330959	-0.080647135	0.0	0.0	400.43463406387997	nan	397.5782166
2015062217251471	-56.87329102	-2.083646059	1	0.019601708	0.218220636	0.035480331	0.075598276	0.0	0.0	402.6549149863993	405.4649779878358	401.2173157
2015062217251472	-56.8820343	-2.089668274	0	0.011703109	0.201633756	0.028193719	0.049313019	0.0	0.0	405.23580556261214	404.07065673506844	400.0132751
2015062217251475	-56.90870285	-2.107378483	1	0.002671769	0.212887611	0.007767798	0.103420643	0.0	0.0	404.4626068910128	403.4313481821699	398.949585
2015062217251476	-56.91768646	-2.113134861	0	0.007144203	0.18702562	0.014417555	0.049016389	0.0	0.0	402.6726519206392	400.81328584696166	397.6001892
2015062217251477	-56.92670441	-2.118831158	1	0.016864154	0.162031563	0.021741546	0.033507106	0.0	0.0	401.5747260293158	402.20030374704714	397.6170959
2015062217251478	-56.93577194	-2.124473095	1	0.056535892	-0.248644435	0.038175338	-0.129000902	0.0	0.0	401.2628034623444	399.5224252018862	399.0312805
2015062217251502	-56.88633347	-2.069483519	0	0.031618198	0.263170795	0.043663552	0.103023289	0.0	0.0	401.0869290023835	401.12034191721096	398.8145752
2015062217251505	-56.9129982	-2.08720088	1	0.010363276	0.148345723	0.009012822	0.12781944	0.0	0.0	405.3180989541872	401.1883482825869	399.070343
2015062217251506	-56.92197418	-2.092958212	1	0.015703829	0.100845439	0.012562535	0.070979964	0.0	0.0	401.162372992772	402.30081847131333	398.8370972
2015062217251507	-56.93099213	-2.098655701	1	0.012366208	0.171453643	0.010315255	0.101811374	0.0	0.0	398.4371771104362	397.3270648231295	396.9725952
2015062217251508	-56.94005585	-2.10429883	1	-0.004628882	0.295766951	0.012775428	0.087362394	0.0	0.0	399.1440768159862	400.19914978967086	397.9006042
2015062217251534	-56.90838623	-2.061202288	1	0.010402486	0.356531362	0.028861259	0.175945548	0.0	0.0	402.0624803672602	401.6935654376674	398.7734985
2015062217251535	-56.91728592	-2.067008018	0	0.013583642	0.222218451	0.023413395	0.123176922	0.0	0.0	405.1221897621125	401.8229566353561	399.9367065
2015062217251536	-56.9262619	-2.072767735	0	0.00145271	0.145318311	-0.004180407	0.087180449	0.0	0.0	403.82501711678236	402.21153014416524	399.2956238
2015062217251537	-56.93527985	-2.078467369	0	0.008466377	0.169544008	0.012772674	0.099594703	0.0	0.0	400.9767547452174	400.6456265600092	398.6792297
2015062217251538	-56.94434357	-2.084112883	0	-0.00867013	0.27230351	0.011616104	0.09490406	0.0	0.0	402.31797699406235	401.44503337069267	398.8377991
2015062217251575	-56.92157745	-2.04681468	1	-0.004177121	0.125667903	-0.022926593	0.170078721	0.0	0.0	402.5041182273663	400.7656355617236	399.5703735
2015062217251576	-56.93054962	-2.05257678	0	-0.01944853	-0.038909891	-0.0588172	0.135607718	0.0	0.0	402.1651434417817	397.92513134665325	399.6541748
2015062217251577	-56.93956757	-2.058279037	0	-0.025861428	0.143751253	-0.041969502	0.170332898	0.0	0.0	401.46164526236834	399.4815633236732	397.9732666
2015062217251578	-56.94862747	-2.063926935	0	0.011642184	0.23720042	0.021600455	0.119285662	0.0	0.0	nan	401.70476938615855	399.8613892
2015062217251608	-56.95290756	-2.043729544	1	0.0129876	0.280676924	-0.007233205	0.183135485	0.0	0.0	401.2623996373925	398.62050226045153	398.4651489
2015062217260773	-57.5716629	1.110286236	0	0.033023975	0.582558503	0.076727059	-0.10838155	0.0	0.0	397.64355829925097	406.804039965438	395.35495
2015062217262203	-57.75500488	1.977570772	1	0.02694119	0.418785409	0.056902264	0.040349699	0.0	0.0	395.9547196971121	399.6076186788277	392.9636536
2015062217262338	-57.81467819	2.026535273	1	0.018193736	0.454080931	0.051873942	0.119151442	0.0	0.0	400.0222113124312	402.06404208345236	397.205658
