SND,LON,LAT,L2XCO2[ppm],L2PSUR[kPa],,,,,
2018101809322908,55.321804,34.07768,406.18387,93.60776,,,,,
2018101809322931,55.27139,34.155403,404.30594,92.19088,,,,,
2018101809322932,55.27805,34.147297,408.94864,92.55183,,,,,
2018101809322933,55.284657,34.139107,405.4639,92.87479,,,,,
2018101809322936,55.303886,34.114403,401.5669,92.37183,,,,,
2018101809322937,55.31011,34.106094,405.61752,93.4519,,,,,
2018101809322938,55.316242,34.097736,405.08392,93.60471,,,,,
2018101809322971,55.265793,34.17545,404.1837,91.90435,,,,,
2018101809322972,55.27246,34.167343,403.3486,91.95621,,,,,
2018101809322973,55.27907,34.159157,405.25607,92.50623,,,,,
2018101809322974,55.285603,34.15092,409.03848,92.75436,,,,,
2018101809322975,55.291996,34.14272,400.83704,92.6532,,,,,
2018101809322978,55.310677,34.11779,395.00012,92.86072,,,,,
2018101809323001,55.260185,34.195477,405.88742,93.25822,,,,,
2018101809323002,55.26685,34.187366,406.2182,92.72484,,,,,
2018101809323003,55.27346,34.179176,404.2944,92.70688,,,,,
2018101809323004,55.279995,34.170937,405.8255,92.250435,,,,,
2018101809323005,55.286385,34.16273,409.79953,92.22136,,,,,
2018101809323006,55.292706,34.154465,412.03653,91.99434,,,,,
2018101809323007,55.29893,34.146152,405.59274,92.436424,,,,,
2018101809323008,55.30507,34.13779,392.92538,92.169525,,,,,
2018101809323031,55.25453,34.215458,406.9754,93.500145,,,,,
2018101809323032,55.261204,34.207348,405.6274,93.493416,,,,,
2018101809323033,55.26782,34.199158,405.3628,93.55031,,,,,
2018101809323034,55.274357,34.19092,402.47586,93.19753,,,,,
2018101809323035,55.280754,34.18272,403.67938,92.95025,,,,,
2018101809323036,55.287075,34.17445,407.61325,92.21651,,,,,
2018101809323037,55.29331,34.16614,408.90698,92.15839,,,,,
2018101809323038,55.299446,34.15778,409.64627,92.31685,,,,,
2018101809323071,55.24888,34.23544,402.88428,93.62439,,,,,
2018101809323072,55.255554,34.22733,404.26947,93.58967,,,,,
2018101809323073,55.262173,34.219143,405.12274,93.491104,,,,,
2018101809323074,55.268715,34.210907,405.28528,93.62712,,,,,
2018101809323075,55.275116,34.202705,404.5957,93.43362,,,,,
2018101809323076,55.281445,34.19444,403.78717,93.478874,,,,,
2018101809323077,55.28768,34.18613,404.1571,93.18412,,,,,
2018101809323078,55.293827,34.177773,402.92667,92.99667,,,,,
2018101809323101,55.24322,34.25543,403.32663,93.65049,,,,,
2018101809323102,55.2499,34.247322,403.6007,93.56557,,,,,
2018101809323103,55.256527,34.23914,403.81403,93.73325,,,,,
2018101809323104,55.263073,34.230904,402.98187,93.73873,,,,,
2018101809323105,55.269478,34.22271,403.84787,93.89759,,,,,
2018101809323106,55.27581,34.214447,404.46375,93.660065,,,,,
