SND,LON,LAT,L2XCO2[ppm],L2PSUR[kPa],i1,s1,i2,s2,i3,s3
SND2018100409221471,55.9334345703125,42.19941207885742,409.7566124983132,99.671515625,0.09550955768935354,0.05267283174216447,0.04829573967166931,0.049063415462533407,0.026633877687747866,0.016811179446104867
SND2018100409221472,55.941773498535156,42.19172927856445,408.95093115977943,99.910125,0.265562790068088,0.0752795407607877,0.06541749548027903,0.09383637858450418,0.09029429249022021,0.05896705196352815
SND2018100409221473,55.95005902099609,42.183966369628905,410.9835426788777,99.9816796875,0.10570482144334964,0.055240150194425325,0.0767380177007161,0.04736832348106324,0.1330442581086776,0.01308003081912308
SND2018100409221503,55.94347103881836,42.203898162841796,409.12351687438786,99.3937421875,0.19061278123968162,0.11574568068297761,0.07222647474833818,0.12237165612896979,0.05021199874581129,0.10111844774696363
SND2018100409221601,55.92603305053711,42.29404006958008,408.94406265579164,100.0041015625,0.14715883468606183,0.11548188810285885,-0.018964626476567777,0.1355675661330596,-0.05952634615388038,0.11670084730641206
SND2018100409221602,55.934387237548826,42.286361083984374,408.6743574589491,99.8916328125,0.1478742609735832,0.07154354208905486,0.0368671958348173,0.06774320654669369,0.013940196572211353,0.0482761861304998
SND2018100409221875,55.91464730834961,42.45899264526367,408.37572305463254,99.741578125,0.1823534892136674,0.03177819869317039,0.09557869807224892,0.022403019306540303,0.13254396459935364,4.531598853424511e-05
SND2018100409221876,55.92267724609375,42.45114581298828,407.8476340509951,99.912109375,0.2029211377268964,0.05351063124445966,0.10726975346173992,0.04399637910748719,0.12877391430535684,0.02350554832235354
