SND,LON,LAT,L2XCO2[ppm],L2PSUR[kPa],i1,s1,i2,s2,i3,s3,cld_distance
SND2018101809322431,55.35556,33.855484,403.44916,93.556915,0.0026818663311321826,-0.003900130157820442,0.0029015966777316453,-0.007966141214550884,-0.0013642280247689613,0.006629526160518251,12.425728147193151
SND2018101809322471,55.35001,33.875473,405.14417,93.5196,-0.0014439402142784703,0.002120935827930231,-0.004593642524301772,0.014512000075236967,-0.0005319594847353325,-0.001056747516970826,14.652873924361867
SND2018101809322472,55.356606,33.86735,403.35577,93.565025,-0.0007276206579371308,0.007106515405030759,-0.0006791581249636191,0.0026841757061941457,0.00039688368993763686,-0.001704465131170428,13.74188013049403
SND2018101809322473,55.363132,33.859196,403.57013,93.55611,4.940930486116141e-06,0.01209716583363137,0.000567661349549017,0.0005976169963266021,-0.002092733702457416,0.0063939609505766675,12.845222002748525
SND2018101809322474,55.369602,33.850933,404.01947,93.47856,-0.00022361051485883513,0.01722276008012444,0.0008869185332317108,0.00196565222527115,0.006905094992079518,-0.02933739994362039,11.9674334936594
SND2018101809322501,55.344467,33.89548,403.0729,93.50028,-0.00046215756472195934,0.003273928101402165,0.0031691112430849468,-0.007504299513240994,0.002751254739154659,-0.007050394646003367,16.89492750496261
SND2018101809322502,55.351067,33.887363,405.28802,93.47338,-0.0028650029648107987,0.010973683561565183,-0.0010211206338356321,0.008727132256920038,0.00034583556642429875,-0.0008131608616245924,15.967725317816912
SND2018101809322503,55.3576,33.87921,405.9118,93.38079,0.0010016181321544355,-0.0075102314262628644,-0.001371781446997608,0.004389838736811374,0.003259938707533454,-0.009025401021529657,15.057380734593607
SND2018101809322504,55.36408,33.870956,403.70148,93.546585,0.0018399136552787864,-0.00973834996082763,-0.0010660700697478866,0.002767580273143574,0.00392392598207,-0.013573391250508467,14.152398413834874
SND2018101809322505,55.37041,33.86274,403.55908,93.68888,-0.0002847353188036969,0.008851982653171525,-0.002811562568231456,0.01410299636274008,-0.002965190571184822,0.011492585768573836,13.27822177914973
SND2018101809322506,55.376675,33.854454,403.54276,93.67459,0.0013653846453866032,0.002517815442457494,-0.0006428064853575113,0.006174028911364609,0.0035200677238536927,-0.0125587715605233,12.42929029638267
SND2018101809322531,55.338936,33.91553,401.66577,93.773964,0.003216600140810014,-0.004371745880730293,-0.005573201710432395,0.027882022977197232,0.0020565471473700104,-0.007960083732812555,15.628296798398829
SND2018101809322532,55.345543,33.907413,400.48553,93.72783,0.0046863910791818016,-0.0163535874947492,0.0026649029231919966,-0.00554971094974427,0.00043066769970202486,6.299212674113634e-05,16.523026425064185
SND2018101809322533,55.35208,33.899265,402.88867,93.673096,-4.699611752760754e-05,0.0034599837238659743,0.001919780890493697,-0.0034418759872674814,0.0021383615133123844,-0.0023747574490337424,17.283093319490515
SND2018101809322534,55.35856,33.89101,404.39676,93.60309,-0.0011310821134858382,0.004690631411231685,-0.0005431717488285189,0.005643294410614799,0.0004178754400721373,-0.0012613435701842942,16.366304832883657
SND2018101809322535,55.3649,33.882793,405.56787,93.544495,-0.000663251090617192,-0.0023303476601131347,0.0023060943382747917,-0.007802764330697544,-0.0031894842008869865,0.011861908682250118,15.467271679346434
SND2018101809322536,55.371166,33.87451,405.73,93.48062,-0.0004389479705412723,-0.0012185859552870236,-0.00016138454694479825,0.0027027073591467223,-0.003039406172885906,0.01095004174064035,14.5853859583855
SND2018101809322537,55.37734,33.866184,403.90015,93.475975,-0.0005051470311392301,0.0066314800987958885,0.0009903407833342242,0.000439075932607058,0.002553277183085482,-0.0037419386584756895,13.726915026041958
SND2018101809322538,55.383396,33.857822,403.59866,93.69052,-0.00037794659525965997,0.007544110563435686,0.001209171508333449,-0.006509747751785271,0.002119328482864948,-0.005347865370596675,12.896857303712936
SND2018101809322571,55.333405,33.935577,403.32172,93.77682,-0.0011334416725639546,0.01708064719366328,-0.0033241767487172187,0.017599982239196853,0.002414856952584947,-0.004588617951661965,13.43082399521374
SND2018101809322572,55.340015,33.927464,401.90317,93.79417,-0.00122666202259344,0.02201549077368889,-0.0001559083623486209,0.004530768081701351,-0.0024162899197311734,0.00995043388255593,14.30287552859027
SND2018101809322573,55.346558,33.919315,401.90262,93.88484,0.0018726819106750223,0.007344399872394848,-0.0031864793911802664,0.015271254642768472,-0.0029400444076978774,0.013924216320622122,15.20286282413756
SND2018101809322574,55.353043,33.91106,400.54672,93.60629,0.0066608894031781225,-0.026502895878824304,-0.0018552315822661703,0.009507088462475817,0.0008848484436079062,-0.003623781500941974,16.118515018554653
SND2018101809322575,55.359386,33.902847,404.1242,93.6221,0.0018099862245634214,-0.004683293680583954,0.0014721278355372775,-0.0010602246636564612,-0.0006492363886829511,0.0034128102728049844,17.03916054568742
SND2018101809322576,55.365654,33.894566,404.9521,93.635635,-0.0015571485355244331,0.004454836003109573,0.0002365317947873613,0.004457085959266887,0.0032008752364462087,-0.009070704209524504,16.77445601427353
SND2018101809322577,55.371834,33.886242,405.85425,93.487526,-0.004067311618319046,0.006771231227198396,4.515033010295934e-05,0.0006181814299549682,-0.0041513910435861156,0.013355314867387055,15.887370211101478
SND2018101809322578,55.37789,33.87788,406.00314,93.49271,-0.002956795690593241,0.004400206162612382,0.0019241027103447507,-0.0028772006750228383,-0.0031550799532352575,0.009910328180565817,15.020185203722994
SND2018101809322601,55.32783,33.955597,401.98026,93.79586,-0.005821862441124167,0.03934781148289841,0.00016844522861554192,0.005078607197192198,5.077504408494388e-05,-0.0021480387373479185,11.270936368615002
SND2018101809322602,55.334435,33.947475,401.8798,93.77068,-0.008224737120907655,0.055817577278585696,0.00010220898022976007,0.0059506793179041045,-0.0029038696102695713,0.016363216642318008,12.108115748772944
SND2018101809322603,55.340973,33.93932,404.18185,93.65117,9.261103518815238e-05,0.01971269017498587,-0.0011084914488019072,0.010185772374923565,-0.0007669203261217898,0.005243389904672741,12.985935159333273
SND2018101809322604,55.347446,33.93106,402.64258,93.77287,0.002536318607320552,0.0021907283821864256,-0.00038759621629312884,0.00968778985231674,6.710314525309223e-05,0.006961137209374839,13.90004502359725
SND2018101809322605,55.353783,33.922836,400.80786,93.71389,-0.001407346700051534,0.019746964291184294,0.0016236168107213948,-0.0032354514119226057,-0.0008195262475134507,0.005625084470416723,14.812654649685003
SND2018101809322606,55.360046,33.91455,402.12286,93.67201,0.0026543160746942134,-0.008267870114729712,-0.0034855567353591463,0.010968412475013622,-0.0015688018717897438,0.007669542393581677,15.744013377744428
SND2018101809322607,55.366215,33.90622,403.00668,93.78327,0.0037530578490590303,-0.017207803164545912,0.00044259232651246323,-0.00036278965080634336,-0.000697584353637545,0.004832374398365861,16.698385818341883
SND2018101809322608,55.37227,33.89785,403.4883,93.61816,0.0015986119200725455,-0.004344690695663881,9.170684830846783e-05,0.004679549322497451,0.0019629859863101065,-0.004071367091225727,17.174139309150153
SND2018101809322631,55.32215,33.97554,404.80887,93.58282,0.0027472302596587214,-0.0007684920514452416,0.0003418857422679496,0.0028082125080669614,-0.0038297062393640104,0.01588629285706117,9.17911443068157
SND2018101809322632,55.32876,33.967422,405.834,93.56249,-0.0007642671513219114,0.00886006164419987,0.0004202928997977412,0.003929483840464451,-0.0004664646327951813,0.005683450086662041,9.959114282777373
SND2018101809322633,55.3353,33.959267,404.14423,93.60913,-0.0011735722332421414,0.010302437910369699,-0.0020955186471413893,0.010478586329223234,-0.0001025274224804218,0.0014121383349954319,10.797759978747901
SND2018101809322634,55.34178,33.951008,403.2525,93.71546,-0.003995031074577775,0.02361225841599197,-0.004675756810661348,0.02084220145638159,-0.0009413969212929955,0.0035893330734986955,11.688946213044092
SND2018101809322635,55.34812,33.942787,403.66876,93.834885,0.0002309878187888017,0.014387625097172022,-0.0011417917266207502,0.007944857243866373,-0.0001263772625567633,0.001488514265048371,12.599340398986122
SND2018101809322636,55.35439,33.934498,403.3839,93.79343,0.0010540582878289227,0.009927638453923799,0.0009845614018345978,0.0014370045746636556,-0.0007452509544105832,0.009156095120215556,13.519652261424845
SND2018101809322637,55.36056,33.92617,401.87512,93.84846,0.00200212276527281,0.004462499047727368,-0.0006227992443864176,0.007246961715592102,-0.0020527336336382926,0.009962665357593737,14.458173024514553
SND2018101809322638,55.366623,33.9178,402.74094,93.85207,0.0016288808071096997,-0.009103513368936538,-0.0016350628272493086,0.009403843113418901,-0.001875546812541457,0.007749366191075269,15.420416026051647
SND2018101809322671,55.316452,33.995525,404.60837,93.73562,0.002111976948344696,0.001590384919728998,0.00022052072401839123,0.007435147030215807,0.002636720202327838,-0.0018512484976022224,7.1939371012895865
SND2018101809322672,55.323063,33.987415,401.86734,93.64452,0.0026399607237478167,-0.00666961631376194,-0.0031153103626023323,0.0174247155496865,0.000261059851542249,0.0020339258883205476,7.876653648040543
SND2018101809322673,55.329628,33.97921,404.20908,93.72923,2.2738103765988144e-05,0.00797653033248176,-0.00017333869558786415,0.007267394006646394,-0.0012187325638847758,0.0055187628031985675,8.653862090366086
SND2018101809322674,55.336113,33.970955,405.26282,93.60091,-0.00025661579527619887,0.005352934288731568,-0.001053943889491579,0.006376201236074264,-0.0016558991271912876,0.012862860241870399,9.498907360455112
SND2018101809322675,55.342457,33.962734,404.70236,93.69451,-0.00271397476914275,0.018469770401200684,0.00041920186694451744,0.004054186281080517,-0.00043788398815998084,0.0030253422401503296,10.387731610649539
SND2018101809322676,55.34873,33.95445,404.72388,93.70729,-0.0034086502002918127,0.015503135957608247,0.0005807241415536719,0.0004248430931718929,0.0002057721375354195,0.00016465402479139658,11.30582654536867
