,albedo,sza,o2a_slope_a,o2a_slope_b,o2a_inter_a,o2a_inter_b
0,0.05,30.0,-1.9999999999999998,1.0980181711341175,1.9055369677519323,1.078073890942617
1,0.05,45.0,-1.9999999999999998,0.9953058558428425,1.6952454053165227,1.0639932884362422
2,0.05,60.0,-1.9999999999999998,1.0862373655739983,1.1855639616296274,1.0453251096826786
3,0.1,30.0,-1.9999999999999836,0.9731703898704435,0.9575634290879351,1.0177304023690235
4,0.1,45.0,-1.9999999999999998,0.7310072724452679,0.7680161795490078,0.9694135151794946
5,0.1,60.0,-1.9999999999999998,0.5177392987849033,0.7547463867181464,1.181672610115939
6,0.15,30.0,-1.9999999999999998,1.324036004686031,0.525164005072859,0.9404844861363799
7,0.15,45.0,-1.999999999999984,1.1064684258259134,0.4170510227176749,1.0062557253311766
8,0.15,60.0,-1.9999999999999993,0.7500910593654029,1.999999999999913,1.6753261401701915
9,0.2,30.0,-1.9999999967491964,1.760887236715228,0.30845225298411594,0.8773911988284889
10,0.2,45.0,-1.9999999999999998,1.5553806168055142,0.29035327834365005,1.1312619949582365
11,0.2,60.0,-1.9999999999999314,0.9524040953408754,1.9999999999999998,1.7457489717837378
12,0.25,30.0,-1.999999996657057,2.181820410554653,0.17813593313844103,0.786756684397848
13,0.25,45.0,-1.9999999999999643,2.301098656457632,0.11467351071896284,0.9213339866169051
14,0.25,60.0,-1.9999999999999976,1.1506151860988059,1.9999999999982998,1.9325855977666293
15,0.3,30.0,-1.9999999999999998,3.1914488249183623,0.1204054095814666,0.9135883769195986
16,0.3,45.0,-1.9999999999999998,3.353338435475884,0.08243289233513756,1.0094560687227985
17,0.3,60.0,-1.999999999999994,1.3588254906920674,1.9999999999999998,2.092983828433987
18,0.4,30.0,0.013300730966693859,3.8808323747383934e-11,0.040441098831868236,0.8782370974791169
19,0.4,45.0,0.014814444830207383,2.4494366948668045e-12,0.26560145756499387,2.029619170677197
20,0.4,60.0,-1.9999999999999987,1.7989856721898678,1.9999999999999998,2.498412897348946
21,0.5,30.0,0.014321524146833431,1.0185342121673879e-13,0.009834099836134664,0.4411608099872467
22,0.5,45.0,0.014799366357531351,3.991132169770074e-11,0.12451762012277666,1.7327104064204872
23,0.5,60.0,-1.9999999999999931,2.265065556992122,1.9999995535716641,2.95720238292867
