,albedo,sza,wco2_slope_a,wco2_slope_b,wco2_inter_a,wco2_inter_b
0,0.025,15.0,0.14682934420466817,1.1418784411561717e-15,3.076394996968727,2.7729282997539038
1,0.025,30.0,0.13161808021673327,4.8533171149991046e-14,1.5404950634368801,2.300703331154183
2,0.025,45.0,-9.999999999999883,2.5352524950741016,1.4930065396074939,2.1530110374952884
3,0.025,60.0,0.27254602668884176,2.6728474551110484e-15,1.3156686854681043,2.0172192470160466
4,0.025,75.0,-9.999999999999998,1.026880719652241,3.6738023743346377,2.2288664434824152
5,0.05,15.0,0.06169313447567163,2.2975950548799655e-20,0.6741034583412348,1.9229954211230431
6,0.05,30.0,0.17489633561515425,2.2089241540151983e-18,1.1941316208245443,2.164754066774411
7,0.05,45.0,0.21207373424884893,7.87581374751253e-18,3.356569904293748,2.7402087643200552
8,0.05,60.0,0.13469683251240278,1.8135954850414493e-18,1.993793367951416,2.3302665388376433
9,0.05,75.0,-9.999999999999995,1.8265220882124065,1.440646499632869,1.8266428979741913
10,0.1,15.0,0.039964240702727034,6.672406026807625e-13,0.34972611693442585,1.6986846431015596
11,0.1,30.0,0.06398205055651793,1.1212986264584173e-12,0.42984734665804686,1.657333462079292
12,0.1,45.0,0.09123683187560576,9.363433396482833e-15,0.7106095054279644,1.9889910326705735
13,0.1,60.0,0.1171368932907804,4.1157710739699567e-19,0.5404768638518046,1.7118217477804643
14,0.1,75.0,-9.999999999940608,2.6177683261197875,0.6879584740315728,1.4637257383400102
15,0.15,15.0,0.043168093398877075,0.12598330724470283,0.24002656082796459,1.5365785439192248
16,0.15,30.0,0.09487716167773859,0.3483745273442034,0.15489358161987493,1.243688802343986
17,0.15,45.0,0.09332195719844699,0.21144087131717465,0.2267706850889201,1.38509524748171
18,0.15,60.0,0.0825453711937573,0.007817260787075302,0.25142577084642803,1.3627560659931177
19,0.15,75.0,-9.999999999999998,3.3921861643254476,0.500261795981812,1.302480241137395
20,0.2,15.0,0.05109226870711837,0.29279191619491485,0.1776362895694206,1.3692448414593925
21,0.2,30.0,0.08453737274164182,0.39429440994086545,0.13059234083940374,1.2340850113139505
22,0.2,45.0,0.05045636087372322,0.0798840834322207,0.1561518935878097,1.208504875683204
23,0.2,60.0,0.044666462949599715,1.108702538963277e-15,0.2184095850135104,1.2564836062134073
24,0.2,75.0,-9.999999999991857,3.517357782501484,0.39621377918544143,1.1880775357573794
25,0.25,15.0,0.04636625487721365,0.28662068837110705,0.17936106017651937,1.3305878839924223
26,0.25,30.0,0.09412102228489874,0.4330135168339465,0.100686755637166,0.9909780237646784
27,0.25,45.0,0.09232048389665878,0.3579073034893366,0.13094457019758798,1.090270279148012
28,0.25,60.0,0.052354520848496136,9.420641074992046e-13,0.17799428521568633,1.1597579916743894
29,0.25,75.0,-9.999999999999996,3.475108465539183,0.3714995314564645,1.124760506848842
30,0.3,15.0,0.040369258516419676,0.3098550990954062,0.17673359270810593,1.3116281912108496
31,0.3,30.0,0.09257833360656247,0.4955942005697765,0.06638947132169505,0.9045831033374485
32,0.3,45.0,0.05347690858357124,0.20200155497574918,0.09978801220842178,1.0254097594666354
33,0.3,60.0,0.057952029408896225,0.07834765118824921,0.13367117150252178,1.0616990220801268
34,0.3,75.0,-9.999999999999998,4.06401396040358,0.3282816060283976,1.0585451923985325
35,0.4,15.0,0.03902367990300578,0.37247816677775386,0.14929754698264555,1.2283061039208132
36,0.4,30.0,0.09234234786281716,0.6012089385631915,0.06958562229848288,0.841421670213585
37,0.4,45.0,0.06785321547787886,0.364372229360964,0.10015889300290323,0.9705877314390414
38,0.4,60.0,0.05144805344433316,0.1394132460477528,0.14084233904509086,1.039156106211549
39,0.4,75.0,0.02117047838224997,2.600236397441495e-18,0.31429284415259695,1.0380739804681345
40,0.5,15.0,0.05106850563797196,0.5596451369084824,0.15589600291696554,1.229635137010371
41,0.5,30.0,0.08683568761219436,0.695057476530572,0.05306909849972701,0.7754736699294026
42,0.5,45.0,0.053614375726621796,0.3978226559001652,0.06446364339866625,0.7873819985356442
43,0.5,60.0,0.03666982258381572,0.09405715191008156,0.11776973112850467,0.9945216544194503
44,0.5,75.0,0.02321424974540022,1.9901065146759203e-16,0.2671304168022754,0.959814873993714
