,albedo,sza,o2a_slope_a,o2a_slope_b,o2a_inter_a,o2a_inter_b
0,0.025,15.0,1.6055170603204374,0.3833168410924779,0.2598080716303385,1.2160995974068667
1,0.025,30.0,2.475180079625641,0.46539948571601375,0.2817393689489174,1.2501252262160256
2,0.025,45.0,3.3949678462023725,0.48860453536287324,0.18095883842048588,0.930556181593159
3,0.025,60.0,4.578437062772545,0.3975344475187902,0.10049686864661246,0.81418359758955
4,0.025,75.0,4.999999999999988,0.13131177734358412,0.150198231589134,1.219579148670972
5,0.05,15.0,0.6311074028397964,0.4437533754561913,0.2235878162055721,1.130383778196352
6,0.05,30.0,0.4028195590100496,0.22560467552260582,0.25367951310046505,1.2003939582732743
7,0.05,45.0,0.6224458616499536,0.28323420157826446,0.16948314943500634,0.8879267194154695
8,0.05,60.0,1.3021699326849645,0.3305315477077266,0.10848015812456503,0.6795131597441904
9,0.05,75.0,4.999999999999904,0.40726756869714487,0.11217681785965146,0.7261026522689823
10,0.1,15.0,0.15590306655653982,0.3039325432667174,0.23252781211107948,1.2157402952592378
11,0.1,30.0,0.15038426103646985,0.22471216273564373,0.1737638547432077,1.066514741550426
12,0.1,45.0,0.1516916490804368,0.10320103980956741,0.13788162644038332,0.8428540117690313
13,0.1,60.0,0.34871803515691985,0.19759953457415738,0.10019702148596009,0.664742764603013
14,0.1,75.0,1.78856218611295,0.3783426251501915,0.1355073310533216,0.6769012953639413
15,0.15,15.0,0.12194460878415476,0.3421801182533932,0.20879689889858613,1.2174684844421655
16,0.15,30.0,0.10322339541757276,0.29189525905565317,0.14709634678159864,0.9904290004492872
17,0.15,45.0,0.1246751703743063,0.16437070006357055,0.12132408901590963,0.8761727666321418
18,0.15,60.0,0.2229110204988332,0.22319291959837848,0.10403673769547456,0.7158799718824821
19,0.15,75.0,0.6941271863803989,0.2810656713840514,0.15514878134590665,0.664340844341929
20,0.2,15.0,0.08007297945011332,0.3543989692018452,0.18869573990412986,1.1661697328844303
21,0.2,30.0,0.08099066255247551,0.28296853171835323,0.16674657308374455,1.0755595311276147
22,0.2,45.0,0.11839656333681067,0.25743391835029866,0.10838094751137671,0.7989025655526927
23,0.2,60.0,0.12301269149672052,0.1344667455986667,0.10900122409573448,0.690150022906891
24,0.2,75.0,0.3809527703695024,0.23825278344382458,0.17056582071027993,0.6820054185132685
25,0.25,15.0,0.04157195416517542,0.161083633274946,0.1929158810619109,1.06189818817866
26,0.25,30.0,0.05026646446352334,0.22605553156707534,0.13178278020644799,0.8415235330128953
27,0.25,45.0,0.06042308329399247,0.16752882734196425,0.11873873328962574,0.7045628092790651
28,0.25,60.0,0.08998808524802006,0.16661962779669867,0.09754403835117911,0.5444898969379249
29,0.25,75.0,0.18811831802940127,0.10138226154089146,0.16478812505065174,0.5985741360987636
30,0.3,15.0,0.04243385035144243,0.2853781373711284,0.15370491564282632,0.9322573235980154
31,0.3,30.0,0.05717468902371328,0.2669538672485931,0.12827278086077876,0.8867639658869135
32,0.3,45.0,0.056742310501091346,0.20473060573397692,0.10206476605688745,0.6646269855322796
33,0.3,60.0,0.06335208447571287,0.11282295061871159,0.10657280079832444,0.5836500668364533
34,0.3,75.0,0.09502981119704844,0.018511798779304388,0.17495803348436745,0.6063692336182358
35,0.4,15.0,0.05432701557410684,0.38462647386848725,0.16930232690637928,1.062401443843864
36,0.4,30.0,0.05288417215503528,0.312973876327587,0.12173437524599064,0.8621311142585548
37,0.4,45.0,0.05028560998702735,0.18935456380000873,0.10314497676522738,0.7028125802921975
38,0.4,60.0,0.06435920821329412,0.16254186756202355,0.09687623197467995,0.5791376900951392
39,0.4,75.0,0.09925281235671041,0.1619711076797062,0.18694260186738448,0.6093635257154847
40,0.5,15.0,0.04195475096321007,0.3215052104039785,0.16934957762620606,1.0877747375227733
41,0.5,30.0,0.05204532771231797,0.3829610833622133,0.10605083526025529,0.7817882796275984
42,0.5,45.0,0.04885662470058461,0.28213946725171746,0.09770264581213518,0.6735512782529253
43,0.5,60.0,0.06861578484231592,0.2267895486582388,0.0882791497923715,0.5460798076056774
44,0.5,75.0,0.05641201599435004,0.039049363390343775,0.19148000333678078,0.5991682919705965
