SND,LON,LAT,L2XCO2[ppm],L2PSUR[kPa],i1,s1,i2,s2,i3,s3
SND2018101809323107,55.282047,34.20614,405.4733,93.4596,0.0037625765774135056,0.04430182850417843,0.0030714950068744685,0.02055059207234546,0.003682260538108008,0.02429943421006296
SND2018101809323108,55.2882,34.197784,404.62708,93.46072,0.004096152761399178,0.04650235075992654,0.0033663860189036775,0.021597010797377372,0.004862043560315947,0.02584086654982216
SND2018101809323131,55.23756,34.275436,403.1803,93.63223,0.006956653755892259,0.06291406352310627,0.005962326551844986,0.029436365857991965,0.027507015764856386,0.03791900537850454
SND2018101809323132,55.244244,34.267334,402.78015,93.682076,0.005735125790178664,0.05634962456520888,0.004840756970698521,0.02629386531202962,0.014624037360382808,0.03297157262864601
SND2018101809323133,55.250874,34.25915,403.4744,93.78636,0.004665675090911569,0.05008882559304912,0.0038742039370303,0.023305073629472393,0.007444040134716802,0.02839513009290814
SND2018101809323134,55.257423,34.25092,403.60376,93.63153,0.0037854122675467163,0.04445507380098764,0.003091618422900709,0.020623424560499544,0.003755887976864952,0.024406126427132104
SND2018101809323135,55.263832,34.24272,404.46823,93.60931,0.0035263157791753388,0.04269220818161394,0.002863873829393418,0.0197859691917287,0.0029782642157639995,0.02318482443579481
SND2018101809323136,55.270172,34.234463,405.0684,93.65859,0.0037515166288677087,0.044227464123184235,0.0030617521613743757,0.02051525133312295,0.003646963658997434,0.02424769605812364
SND2018101809323137,55.276413,34.22616,404.34488,93.69751,0.0037753407367193148,0.04438753503133871,0.003082741933521066,0.020591324827818263,0.0037232903004769356,0.024359092482114257
SND2018101809323138,55.282566,34.217804,403.67416,93.78745,0.0035903359949842175,0.04313282852912817,0.0029200276416329247,0.019995209292562332,0.0031588556542493174,0.02348883559204199
SND2018101809323171,55.2319,34.295444,398.16492,94.55364,0.006040780699710305,0.058044381069752564,0.005119768453080252,0.02710435247753231,0.017332046520967082,0.034234749713337766
SND2018101809323172,55.238586,34.287342,398.0234,94.2439,0.0067138325269172645,0.061651271226904836,0.005738034796514289,0.028831195368714434,0.02448825729984506,0.036955992894218255
SND2018101809323173,55.24522,34.279163,405.98636,93.684326,0.0061156384966625146,0.05845378820685993,0.0051882739685437705,0.027300231816971943,0.018044737508288246,0.03454139939071133
SND2018101809323174,55.251774,34.27093,403.47964,93.55359,0.005317977102728988,0.05397272669940446,0.004461880482811183,0.025158166630265995,0.011422450503023509,0.031217150030393187
SND2018101809323175,55.25819,34.262737,404.25226,93.639336,0.004439235555655593,0.04868669801506577,0.003671673440424547,0.0226369394657767,0.006325782665181738,0.02739048635653377
SND2018101809323176,55.26453,34.25448,403.89774,93.69709,0.0036540736981480484,0.04356816622683178,0.002976012536362296,0.020201992252987865,0.0033460667564096085,0.023790022707617233
SND2018101809323177,55.27078,34.246174,403.7595,93.73955,0.003107287452096108,0.0397186950667177,0.002498391938076774,0.018375330156466276,0.0019688100070642495,0.021155557676086893
SND2018101809323178,55.276936,34.237823,403.34702,93.76566,0.003268038120939234,0.04087863197714935,0.0026381659110470555,0.018925308288141932,0.002322083337703879,0.02194246249855133
