# MODIS Aqua GEOGRAPHIC METADATA TEXT FILE day 2017-07-21
# NFiles = 288, max geo IngestTime = 2018-01-29 19:56:28.888425
# GranuleID,StartDateTime,ArchiveSet,OrbitNumber,DayNightFlag,EastBoundingCoord,NorthBoundingCoord,SouthBoundingCoord,WestBoundingCoord,GRingLongitude1,GRingLongitude2,GRingLongitude3,GRingLongitude4,GRingLatitude1,GRingLatitude2,GRingLatitude3,GRingLatitude4
MYD03.A2017202.0000.061.2018029162028.hdf,2017-07-21 00:00,61,80920,D,-131.583730679409,-28.7522075200418,-50.2611034939312,-164.835577687831,-131.581352001748,-163.364702973065,-164.854050900831,-140.071827090928,-45.7447235435794,-50.2768097205216,-31.9530089072302,-28.6412215878927
MYD03.A2017202.0005.061.2018029162020.hdf,2017-07-21 00:05,61,80920,D,-140.525974735788,-11.2686638335868,-32.3028076249803,-167.465541178938,-140.521389274016,-164.907561400383,-167.48815150433,-145.884404474581,-28.8261334313241,-32.3247820671787,-14.1657687590599,-11.2125568782987
MYD03.A2017202.0010.061.2018029162025.hdf,2017-07-21 00:10,61,80920,D,-146.191941227505,6.52513251727953,-14.3860710881016,-170.97525138846,-146.185998023935,-167.470682910774,-170.98314228515,-150.126383287599,-11.3405086623403,-14.4062803809409,3.5720974807558,6.54364315545145
MYD03.A2017202.0015.061.2018029162540.hdf,2017-07-21 00:15,61,80921,D,-150.266236674318,24.4499449046599,3.48794925027158,-175.727181451481,-150.218750095493,-170.96347883338,-175.783518257224,-153.392668768103,6.45614870623062,3.46985619443227,21.2407146191517,24.5742955370783
MYD03.A2017202.0020.061.2018029162103.hdf,2017-07-21 00:20,61,80921,D,-153.372180763208,42.3987398378443,21.1815033601143,177.216569906339,-153.139627074087,-175.712497231486,177.073814613604,-155.696239487014,24.3931894402105,21.166249106369,38.4798941229332,42.6482007604125
MYD03.A2017202.0025.061.2018029162039.hdf,2017-07-21 00:25,61,80921,D,-155.655034698433,60.3072662820415,38.4507578364942,164.865146472745,-155.219341639685,177.250809109617,164.572748561945,-156.735828798591,42.3303092048686,38.4400078871402,54.6757546668261,60.6457707882914
MYD03.A2017202.0030.061.2018029162044.hdf,2017-07-21 00:30,61,80921,D,-152.276846996895,78.2342096026788,54.7158344948982,137.585062070133,-155.930315914409,164.928686445987,137.159954156702,-152.059396855233,60.204062604715,54.7099918299518,67.6426216711826,78.4498868772961
MYD03.A2017202.0035.061.2018029162626.hdf,2017-07-21 00:35,61,80921,D,180,89.9852531346019,67.8672609405635,-180,-150.57604444814,137.749709559049,85.650328146134,-6.79744454501204,77.8799797491306,67.863434538381,69.9547069540176,82.9762405907477
MYD03.A2017202.0040.061.2018029162106.hdf,2017-07-21 00:40,61,80921,D,85.5147624462881,83.8876747415674,59.360474064109,-8.54582134708037,-11.2591609505237,85.5167923486176,50.4093543442504,5.02824075729613,83.3290526496115,70.3041121818205,59.1184419641891,65.4326665049219
MYD03.A2017202.0045.061.2018029162029.hdf,2017-07-21 00:45,61,80921,B,49.8348173632922,65.9676352228531,43.6995806669969,4.65139406330369,4.23900415421098,49.8376353567866,34.8817176106723,4.6556059710699,65.9212949146344,59.4228533014766,43.5539757108563,47.6371747284623
MYD03.A2017202.0050.061.2018029162033.hdf,2017-07-21 00:50,61,80921,N,34.4067155985569,48.066491059192,26.5801682671663,2.65646886403463,4.32460686797159,34.4099644973921,26.4919582124194,2.63605621204928,48.0843127849134,43.7670646545811,26.497938956855,29.7239855446851
MYD03.A2017202.0055.061.2018029161943.hdf,2017-07-21 00:55,61,80921,N,26.14864021039,30.053431966951,8.99842678993365,-0.193381480523625,2.47338696353639,26.153699520802,21.0310888393667,-0.215795279930616,30.0818899117043,26.6499982746544,8.96490385554522,11.9224036489216
MYD03.A2017202.0100.061.2018029161959.hdf,2017-07-21 01:00,61,80921,N,20.8455773646575,12.1290947740335,-8.82007538960077,-3.93015921059018,-0.302842671182248,20.8514987443659,17.0275381344585,-3.93618366041001,12.1609944672473,9.07175393692249,-8.82857444634607,-5.77651171250319
MYD03.A2017202.0105.061.2018029162014.hdf,2017-07-21 01:05,61,80921,N,17.0115054531411,-5.70448199829667,-26.7206224194133,-8.982062067225,-3.95835306986357,17.1905630266838,14.1105032897531,-8.98917570516569,-5.67840978834869,-8.76748158694912,-26.8621967606666,-23.3680794247092
MYD03.A2017202.0110.061.2018029161953.hdf,2017-07-21 01:10,61,80921,N,14.1346030145214,-23.2930380748733,-44.5973107301882,-16.5530087566871,-8.96447806111118,14.4750720773579,12.0704336811839,-16.6142631398038,-23.2780350743688,-26.6640496618279,-44.8663750133072,-40.4348573365083
MYD03.A2017202.0115.061.2018029162050.hdf,2017-07-21 01:15,61,80921,N,12.1123969186963,-40.3811761941632,-62.4231029270017,-30.0394959786865,-16.5160530881772,12.6556000292224,11.5806543364753,-30.2715029434302,-40.3708474745092,-44.5249100602894,-62.7608871352694,-56.2819629452059
MYD03.A2017202.0120.061.2018029162429.hdf,2017-07-21 01:20,61,80921,N,18.7605236597245,-56.3004671683407,-80.2609292424804,-59.9896584382199,-29.9616194434694,12.3255687117085,19.2071753047668,-60.3219998471805,-56.2955981352021,-62.288557218662,-80.3774358817937,-68.3541837078654
MYD03.A2017202.0125.061.2018029162844.hdf,2017-07-21 01:25,61,80921,N,180,-68.5646535922339,-89.9878676144816,-180,-59.7875861453979,20.9530582305478,163.097849455441,-111.530895476344,-68.5617570099988,-79.759307548924,-81.0485719863792,-68.9637717560327
