# MODIS Aqua GEOGRAPHIC METADATA TEXT FILE day 2018-10-18
# NFiles = 288, max geo IngestTime = 2018-10-19 16:23:11.289309
# GranuleID,StartDateTime,ArchiveSet,OrbitNumber,DayNightFlag,EastBoundingCoord,NorthBoundingCoord,SouthBoundingCoord,WestBoundingCoord,GRingLongitude1,GRingLongitude2,GRingLongitude3,GRingLongitude4,GRingLatitude1,GRingLatitude2,GRingLatitude3,GRingLatitude4
MYD03.A2018291.0000.061.2018291160255.hdf,2018-10-18 00:00,61,87532,N,180,89.9915904055851,67.5838890382867,-180,-129.607867767686,131.049752394677,79.4748664138887,10.9240246208802,83.6467061198891,70.4517310560447,67.2661889236103,77.0932678801271
MYD03.A2018291.0005.061.2018291160315.hdf,2018-10-18 00:05,61,87532,N,79.059062248318,77.7776093881822,54.2925510120518,10.4097021709064,8.9823031845293,79.061031076342,52.9847702813897,14.491534276094,77.5438241793128,67.6242850433425,54.0842170916793,59.3700053406181
MYD03.A2018291.0010.061.2018291155941.hdf,2018-10-18 00:10,61,87532,N,52.4176842544591,59.8570002135182,37.9860524760894,13.353903109097,13.942501823068,52.4189638950183,40.7377665922258,13.3425849446884,59.851810364422,54.3580733848744,37.8623103919715,41.5522153294659
MYD03.A2018291.0015.061.2018291155927.hdf,2018-10-18 00:15,61,87532,N,40.2957319738752,41.9497328925999,20.6173676410946,11.0254489736118,13.0803765709934,40.3012539091034,33.5992617471842,10.999874449213,41.9721381989469,38.0541679189501,20.556950129234,23.6348914851144
MYD03.A2018291.0020.061.2018291155947.hdf,2018-10-18 00:20,61,87532,N,33.3244672459621,23.9227535675882,2.92667075716704,7.87423937603417,10.8502517397964,33.3294865185967,28.7504210401656,7.85679402657109,23.9534098995622,20.6877044184575,2.90505148613445,5.85638375856795
MYD03.A2018291.0025.061.2018291155953.hdf,2018-10-18 00:25,61,87532,N,28.6167494845506,6.01511771909505,-14.9365057373538,3.76005022997988,7.78908658486616,28.6680537106515,25.1292753570099,3.75362816272595,6.04755288265308,2.99317782328341,-14.9881835600636,-11.8298561790187
MYD03.A2018291.0030.061.2018291160420.hdf,2018-10-18 00:30,61,87532,N,25.1423285110449,-11.7581819541775,-32.8400119022844,-1.96207939750268,3.75450979637159,25.3769686826017,22.5114769504609,-1.96965500879109,-11.7349598622379,-14.8855097921173,-33.0256822666897,-29.2880633098242
MYD03.A2018291.0035.061.2018291160342.hdf,2018-10-18 00:35,61,87532,N,22.5416770250057,-29.2132273535649,-50.6937225074486,-10.9767943505387,-1.93981863083577,22.9748805439073,20.8840115497772,-11.078779012259,-29.1978898306182,-32.780907717199,-50.9997225503803,-46.0518497330746
MYD03.A2018291.0040.061.2018291155939.hdf,2018-10-18 00:40,61,87532,N,21.5760154799191,-46.0140159986982,-68.5203171643571,-28.3196769023169,-10.9293926509154,21.5632651355611,21.5780565654568,-28.6137036246972,-46.0054046708533,-50.6120122519678,-68.8343695691906,-61.0883209242806
MYD03.A2018291.0045.061.2018291160114.hdf,2018-10-18 00:45,61,87532,B,48.3068254480156,-61.1503890069446,-86.3553231250626,-67.6353507373139,-28.2135644259369,22.4443526271141,51.582441740932,-67.796840904797,-61.1473594631983,-68.3216696749194,-85.8649628936136,-70.3003795410434
