SND,LON,LAT,L2XCO2[ppm],L2PSUR[kPa],i1,s1,i2,s2,i3,s3,weighted_cld_distance
SND2015120110344131,44.545727,-9.912502,397.93048,101.29521,0.014590764461380395,-0.003881010187571972,0.0064254315386412875,-0.0012632021068455699,0.0034657777105363543,0.00136241237170607,12.026282649248031
SND2015120110344171,44.541576,-9.893886,398.275,101.2295,-0.1995523877797465,0.009120231371062236,-0.17277241875702057,0.004091908059702359,-0.16841541419154352,0.002793963022749179,11.602614468878144
SND2015120110344172,44.54079,-9.904786,398.7913,101.2211,0.014407500118612807,0.00021760745756962158,0.00673318541799374,-0.0017797628042714923,0.00948321948223316,-0.003087243041995908,12.727593261883356
SND2015120110344173,44.5399,-9.915747,398.36728,101.288895,-0.001663354716326475,-0.00476728260772067,-0.01474690022477506,-0.0006724679941377001,-0.013710270254936395,-0.00032700714320506736,12.048430377559427
SND2015120110344201,44.537434,-9.875269,398.15793,101.19897,-0.010088654856494699,-0.007826374024856423,-0.0028188021320351836,-0.0065166917283916645,-0.004686575879570734,-0.007574312692943405,11.100124530126552
SND2015120110344202,44.53665,-9.88617,398.2058,101.23212,-0.1441707092525777,0.010860684657926336,-0.11713385893721713,-0.0035530979120077786,-0.13342116279583188,0.005768944413845512,11.613012328724416
SND2015120110344203,44.53577,-9.897131,398.2579,101.32744,-0.1007363355167144,5.616006923255571e-05,-0.0802429660503961,-0.005504926208130909,-0.07668281370117805,-0.007662423508382786,12.961338133023629
SND2015120110344204,44.534786,-9.908117,398.76593,101.23462,0.010313832087899055,-0.0008096178564581462,0.0037802642604715677,-0.0016554020382048462,0.0035840956700718737,-0.0018972175050711699,13.091569588026106
SND2015120110344231,44.533276,-9.856653,398.07568,101.267876,0.014737622255788958,-0.002359316316065603,0.004473800530606715,-0.0010163014791013975,-0.0027740057448371333,0.0014782246282174216,11.348334209063848
SND2015120110344232,44.53249,-9.867557,397.8529,101.35598,-0.11268860718890358,0.0015993058374371757,-0.09292423454731998,-0.0036276094641390436,-0.0978990444308283,-0.002033839944017052,11.846554305516575
SND2015120110344233,44.531605,-9.87852,398.11584,101.31646,0.017918560812188226,-0.0019202256176001826,0.014447224142917088,-0.005065675798294479,0.014641042408504638,-0.008565100407927717,12.66155650418407
